Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1659288513,6,GET,/book/Spring%20Festival/Simply%20Lift,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,5,0,2.95000000000023,2.6562600000000103,2.115500000000381,2.95000000000023,1252.0
1659288513,6,GET,/logout,0.400000,0.000000,4,4,4,5,5,5,5,5,5,5,5,5,0,4.077500000001066,4.348740000000184,4.077500000001066,4.814200000000213,462.0
1659288513,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,5,0,3,2.671440000000036,2.255299999999849,3.0236999999999625,1325.0
1659288513,6,POST,/showSummary,0.100000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288513,6,,Aggregated,1.800000,0.000000,3,3,3,4,4,5,8,8,8,8,8,25,0,3,3.1087199999999537,1.8471000000008786,8.032700000000004,846.44
1659288514,6,GET,/,0.500000,0.000000,2,2,3,3,8,8,8,8,8,8,8,8,0,2,3.0382249999999775,1.8471000000008786,8.032700000000004,462.0
1659288514,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,5,0,2.95000000000023,2.6562600000000103,2.115500000000381,2.95000000000023,1252.0
1659288514,6,GET,/logout,0.400000,0.000000,4,4,4,5,5,5,5,5,5,5,5,5,0,4.077500000001066,4.348740000000184,4.077500000001066,4.814200000000213,462.0
1659288514,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,6,0,3,2.7703499999999583,2.255299999999849,3.264899999999571,1325.0
1659288514,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288514,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,26,0,3,3.1147269230768617,1.8471000000008786,8.032700000000004,864.8461538461538
1659288515,6,GET,/,0.500000,0.000000,2,2,3,3,8,8,8,8,8,8,8,8,0,2,3.0382249999999775,1.8471000000008786,8.032700000000004,462.0
1659288515,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,6,0,3,2.719549999999978,2.115500000000381,3.0359999999998166,1252.0
1659288515,6,GET,/logout,0.400000,0.000000,4,4,4,5,5,5,5,5,5,5,5,5,0,4.077500000001066,4.348740000000184,4.077500000001066,4.814200000000213,462.0
1659288515,6,POST,/purchasePlaces,0.400000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,3,2.772342857142832,2.255299999999849,3.264899999999571,1325.0
1659288515,6,POST,/showSummary,0.200000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288515,6,,Aggregated,2.000000,0.000000,3,3,3,4,4,5,8,8,8,8,8,28,0,3,3.1001142857142248,1.8471000000008786,8.032700000000004,895.1071428571429
1659288517,6,GET,/,0.500000,0.000000,2,2,2,3,8,8,8,8,8,8,8,9,0,2,2.9710666666666885,1.8471000000008786,8.032700000000004,462.0
